Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S322631067,Downy Woodpecker,Dryobates pubescens,11400,1,US-ME,Cumberland,L62114734,Home,43.618038,-70.303394,2026-04-16,04:53 PM,eBird - Stationary Count,2,1,,,1
S326664337,Downy Woodpecker,Dryobates pubescens,11400,2,US-ME,Cumberland,L62114734,Home,43.618038,-70.303394,2026-04-24,03:53 PM,eBird - Stationary Count,9,1,,,1
S333105498,Downy Woodpecker,Dryobates pubescens,11400,1,US-ME,Cumberland,L62114734,Home,43.618038,-70.303394,2026-05-05,12:10 PM,eBird - Stationary Count,12,1,,,1
S326963663,Downy Woodpecker,Dryobates pubescens,11400,1,US-ME,Cumberland,L1579234,"Robinson Woods Preserve, Cape Elizabeth",43.6106674,-70.2164627,2026-04-25,07:19 AM,eBird - Traveling Count,39,1,1.93,,1
S333184005,Hairy Woodpecker,Leuconotopicus villosus,11427,1,US-ME,Cumberland,L62114734,Home,43.618038,-70.303394,2026-05-05,03:02 PM,eBird - Stationary Count,6,1,,,1,,,,656654483
S320924964,Eastern Phoebe,Sayornis phoebe,17007,1,US-ME,Cumberland,L62114734,Home,43.618038,-70.303394,2026-04-12,07:05 PM,eBird - Stationary Count,1,1,,,1
S330425959,Blue Jay,Cyanocitta cristata,21294,4,US-MA,Bristol,L11660244,Destruction Brook Woods (DNRT),41.570637,-71.0175991,2026-05-01,07:42 AM,eBird - Traveling Count,83,1,1.5,,2
S333105498,Blue Jay,Cyanocitta cristata,21294,2,US-ME,Cumberland,L62114734,Home,43.618038,-70.303394,2026-05-05,12:10 PM,eBird - Stationary Count,12,1,,,1,,,,656654431
S333184005,Blue Jay,Cyanocitta cristata,21294,3,US-ME,Cumberland,L62114734,Home,43.618038,-70.303394,2026-05-05,03:02 PM,eBird - Stationary Count,6,1,,,1
S319507306,American Crow,Corvus brachyrhynchos,21557,2,US-ME,Cumberland,L9076474,Forest City Cemetery,43.6346567,-70.2774657,2026-04-10,06:55 AM,eBird - Traveling Count,34,1,1.101,,1
S318223222,American Crow,Corvus brachyrhynchos,21557,1,US-ME,Cumberland,L62114734,Home,43.618038,-70.303394,2026-04-07,06:48 AM,eBird - Casual Observation,,0,,,1
S319233187,American Crow,Corvus brachyrhynchos,21557,1,US-ME,Cumberland,L62114734,Home,43.618038,-70.303394,2026-04-09,12:41 PM,eBird - Stationary Count,1,1,,,1
S333105498,American Crow,Corvus brachyrhynchos,21557,2,US-ME,Cumberland,L62114734,Home,43.618038,-70.303394,2026-05-05,12:10 PM,eBird - Stationary Count,12,1,,,1
S326963663,American Crow,Corvus brachyrhynchos,21557,1,US-ME,Cumberland,L1579234,"Robinson Woods Preserve, Cape Elizabeth",43.6106674,-70.2164627,2026-04-25,07:19 AM,eBird - Traveling Count,39,1,1.93,,1
S330425959,Black-capped Chickadee,Poecile atricapillus,22065,1,US-MA,Bristol,L11660244,Destruction Brook Woods (DNRT),41.570637,-71.0175991,2026-05-01,07:42 AM,eBird - Traveling Count,83,1,1.5,,2
S319233187,Black-capped Chickadee,Poecile atricapillus,22065,2,US-ME,Cumberland,L62114734,Home,43.618038,-70.303394,2026-04-09,12:41 PM,eBird - Stationary Count,1,1,,,1
